,0,1,2,3,4,5,6,7,8,9,10,11
0,6000.0,8093.0,14730.0,12000.0,12000.0,8048.0,6000,0.0,0.0,6000,16500.0,0.0
1,0.0,0.0,27344.0,61977.0,53124.0,0.0,48696,39843.0,0.0,0,120000.0,0.0
2,32906.0,0.0,42232.0,0.0,0.0,18099.0,19606,0.0,56815.0,0,0.0,0.0
3,0.0,5694.0,10792.0,20042.0,0.0,0.0,6938,3084.0,29000.0,0,33.0,0.0
4,49000.0,49000.0,0.0,15571.0,46137.0,39546.0,29659,13182.0,49000.0,0,72069.0,0.0
5,44314.0,68000.0,0.0,0.0,0.0,10042.0,13772,64015.0,0.0,0,0.0,0.0
6,6881.0,0.0,11612.0,0.0,0.0,8708.0,829,12246.0,0.0,0,0.0,0.0
7,41000.0,41000.0,20318.0,41000.0,41000.0,41000.0,31267,6948.0,41000.0,0,31267.0,0.0
8,32816.0,32000.0,45386.0,32000.0,32000.0,29068.0,24612,5469.0,5469.0,32000,19142.0,32000.0
9,0.0,0.0,59646.0,112868.0,112868.0,96745.0,72559,16124.0,32248.0,185000,0.0,40310.0
10,0.0,150000.0,0.0,29232.0,139088.0,119220.0,89415,59610.0,0.0,150000,49675.0,150000.0
11,45190.0,0.0,64666.0,0.0,0.0,27715.0,20786,96227.0,0.0,0,0.0,0.0
